sn,artist,song,lyrics,mood
ML11,'Deitrick Haddon','Love Him Like I Do ',' Feat  Ruben Studdard and Mary Mary   Love him like I do [x8]  Ruben Studdard  I had to tell you first The Pastor of the church My folks and friends Listen to these words See GOD save me  yeah  From myself when no one else was around And it was only by his grace His mercy is favor  Cause I know I don t deserve All the love he shows  oh  And how he let me know  oh  He never brought me side  That s why I love him like I do I Love him like I do I Love him like I do That s why I love him like I do I  I [x2]  Deitrick Haddon  See I got a testimony how to save my soul For hours just sinner left in the floor Give me a second chance Save me from myself Came to my rescue When I needed help You want to know why  I love him the way I do That s when the enemy said I was through He took me from the bottom And put me on the top He lend his hands on me And now I can t stop  That s why I love him like I do I Love him like I do  my my my  I Love him like I do  I do  I do  do do do  That s why I love him like I do  I love him like I do I love him like I do  I  I [x2]  Mary Mary  Somebody told me we overcome by our testimony Bet you wouldn t believe how bad fear use to paralyze me God s hand let me through the test And he brought out the very best of me And now I never forget Gonna tell the world what you mean to me  ye    ah    yeah  That s why I love him like I do I Love him like I do I Love him like I do That s why I love him like I do I  I [x2]  Mary Mary  Let me tell you why I love [x2] Because he been so good me He takes care of me He keeps love me yeah I love him I love him  I Love him like I do I Love him like I do I Love him like I do I Love him like I do',happy
ML12,'The Jackson 5',ABC,'A buh buh buh buh          A buh buh buh buh          You went to school to learn  girl     Things you never  never knew before             Like  I before E  except after C           And why two plus two makes four     Now now now  I m gonna teach you        Teach you  teach you          All about love  yeah      All about love           Sit yourself down  take a seat     All you gotta do is repeat after me          A  B  C     It s easy as        1  2  3     Or simple as        Do Re Mi     A  B  C  1  2  3  baby you and me girl      A  B  C     Easy as        1  2  3     Or simple as        Do Re Mi     A  B  C  1  2  3  baby you and me  girl           Come on  let me love  you just a little bit      Come on  let me love you just a little bit      I m a gonna teach how to sing it out      Come on  come on  come on     Let me show you what it s all about      Reading  writing  arithmetic     Are the branches of the learning tree          But without the roots of love every day  girl             Your education ain t complete     T t t teachers gonna show you          Show you  show you          How to get an  A            Nyah nyah nyah nyah           Spell me you     You add the two      Listen to me baby  that s all you gotta do           A  B  C     It s easy as        1  2  3     Or simple as Do Re Mi     A  B  C  1  2  3  baby you and me girl           A  B  C  1  2  3     It s easy  it s like counting up to three     Do Re Mi  A  B  C     Sing a simple melody     That s how easy love can be     That s how easy love can be     Sing a simple melody  1  2  3  you and ME           Sit down  girl      I think I love you      No      Get up  girl      Show me what you can do      Shake it  shake it  baby  come on now      Shake it  shake it  baby  ooo oooh      Shake it shake it  baby  huh      1  2  3  baby  oo ooo      A  B  C  baby  nah nah      Do Re Mi  baby  huh      That s how easy love can be          A  B  C  1  2  3     It s easy  it s like counting up to three     Do Re Mi  A  B  C     Sing a simple melody     That s how easy love can be          I m a gonna teach how to sing it out      Come on  come on  come on     Let me show you what it s all about           A  B  C  it s easy  it s like counting up to three     Sing a simple melody     That s how easy love can be          I m a gonna teach how to sing it out  sing it out  sing it out      Oh  Oh  Oh  baby           A  B  C  it s easy  it s like counting up to three     Sing a simple melody     That s how easy love can be ',relaxed
ML13,Maysa,'The Lady In My Life','There will be no darkness tonight     Baby our love will shine     Just put your trust in my heart     And meet me in paradise     Boy you re every wonder in this world to me     A treasure time will steal away     So listen to my heart     Lay your body close to mine     Let me feel you in my dreams     I can make you feel alright     And baby through the years     Gonna love you more each day     So I promise you tonight     I will always be the lady in your life     Lay back on my tenderness     Let s make this a night we won t forget     Oh I need your sweet caress     Reach out to our fantasy     Two hearts in the beat of ecstasy     Come to me boy     And I will keep you warm     Through the shadows of the night     Let me touch you with my love     I will make you feel so right     And baby through the years     Even when we re old and gray     I will love you more each day      Cause I will always be the lady     Always be the lady in your life     Always the lady in your life     Stay with me     Always the lady in your life     I want you to stay with me     Always the lady in your life     I need you by my side     Always the lady in your life     Oh yeah baby     Always the lady in your life      Cause I love you  yes I do     Always the lady in your life     And I need you baby     Always the lady in your life     More than you ll ever know     Always the lady in your life     I love you baby     Always the lady in your life     And I ve gotta let it show     Always the lady in your life     And I    I love you baby     Always the lady in your life     I need you baby     Always the lady in your life     Don t you see I love you boy     Don t you see I love you baby     Always the lady in your life     Always the lady in your life     Always the lady in your life',happy
ML14,'Ryan Shaw','We Got Love','Baby  when I m wrapped up in your arms     It never rains     And I m prayin  for more  more and more     Each and every day  oh  baby     We re flyin  high and no one can deny     They can t tell by the look in your eyes     That we got love  you got me     If I got you  baby  we got more than money     You are everything a man s been dreamin  of     Oh  we got love  baby  we got love  oh  yeah     And you know I love to see you smile  oh     And what you done for me     What you done for me makes it all worthwhile  oh  baby      Cause you  you are my desire     And with the slightest touch     With the slightest touch my soul s on fire      Cause we got love  baby  you got me     And if I got you we got more than money     You are everything a man s been dreamin  of     Oh  we got love  baby  we got love     Storms are gonna rise and winds are gonna blow     But it ain t no need to worry as long as we know     As long as we know     We got love  baby  you got me     And if I got you whole  we got more than money     You are everything a man s been dreamin  of     Oh  we got love  baby  we got love      Cause I ve been new  I ve been around     But we won t let nothing  nothing shake the love we found     We got love  baby  we got love     Yeah  yeah  love  baby  we got love     I  I know we gotta  gotta  got  got love     Soon we  I need a little bit of love     Baby  we got  we got love     Oh  love  oh  love',happy
ML15,'The Paris Sisters','I Love How You Love Me','I love how your eyes close     Whenever you kiss me     And when I m away from you     I love how you miss me     I love the way     You always treat me tenderly     But  darling  most of all     I love how you love me     I love how your heart beats     Whenever I hold you     I love how you think of me     Without being told to     I love the way     Your touch is always heavenly     But  darling  most of all     I love how you love me      Instrumental break over Albeth Paris  unsung  dramatic soap opera like speech      I love the way     Your touch is always heavenly     But  darling  most of all     I love how you love me     I love how you hug me     I love how you squeeze me  tease me  please me     Love how you love me     I love how you love me',happy
ML16,'New Direction','I Came To Jesus','I was messed up  dirty as I could be     I was on my way to hell      But I heard the preacher     Preaching the Word of God     Confess your sins and repent          I came to Jesus as I was     Weary  worn  and sad     I found in Him a resting place     And He has made  made me glad          I asked the Lord      how could He love me     I have sinned against Your will      But He said   repent and I will forgive you     The question s who will you serve            You might be dirty  messed up inside     You may even have lost your will to live      Don t be discouraged  don t throw in the towel     Confess your sins and repent so you can be like me          Weary          Jesus',sad
ML17,'Kurt Carr   The Kurt Carr Singers','God Great God','Glory and honor dominion and power Now and forever the Lord God omnipotent Reineth with power forever with power Greater than all you are sovereign God  God great God Worthy of honor and glory We stand here in reverence Blessed in your presence Jehovah Forever and ever our God  Nobody greater Nobody greater Nobody greater Greater than our God  Nobody Nobody No Nobody Greater than our God  God great God God great God Jehovah God great God  whoo whoo  God great God forever',happy
ML18,'Kenny Lattimore','And I Love Her','I give her all my love     That s all I do     And if you saw my love     You d love her  too     I love her  yeah     She gives me everything     And tenderly     The kiss my lover brings     She brings to me     And I love her     A love like ours     Could never die     As long as I     Have you near me     Bright are the stars that shine     Dark is the sky     I know this love of mine     Will never die     And I love her     Bright are the stars that shine     Dark is the sky  the sky     I know this love of mine     Will never die     And I love her     And I love her     I love her     I love her     And I love her     I love her     I love her     And I love her     I love her     I love her        ',happy
ML19,'Jordin Sparks',Battlefield,'Don t try to explain your mind     I know what s happening here     One minute it s love and suddenly     It s like a battle field     One word turns into war     Why is it the smallest things that tear us down      My world s nothing when you re gone     I m out here without a shield     Can t go back now          Both hands tied behind my back for nothing     Oh no     These times when we climb so fast to fall again     Why we gotta fall for it now           I never meant to start a war     You know I never wanna hurt you     Don t even know what we re fighting for     Why does love always feel like        A battlefield  battlefield      A battlefield  battlefield      A battlefield  battlefield      Why does love always feel like        A battlefield  battlefield      A battlefield  battlefield      A battlefield  battlefield      Why does love always feel like             Can t swallow our pride     Neither of us wanna raise that flag     If we can t surrender     Then we both gonna lose what we had  oh no          Both hands tied behind my back for nothing     Oh no     These times when we climb so fast to fall again     I don t wanna fall for it now           I never meant to start a war     You know I never wanna hurt you     Don t even know what we re fighting for     Why does love always feel like        A battlefield  battlefield      A battlefield  battlefield      A battlefield  battlefield      Why does love always feel like     A battlefield  battlefield      A battlefield  battlefield      A battlefield  battlefield      [Post Chorus     I guess you better go and get your armor  get your armor      Get your armor  get your armor      I guess you better go and get your armor  get your armor      Get your armor  get your armor      I guess you better go and get your             We could pretend that we are friends tonight     And in the morning we d wake up and we d be alright     Cause baby  we don t have to fight     And I don t want this love to feel like             A battlefield  battlefield      A battlefield  battlefield      A battlefield  battlefield      Why does love always feel like        A battlefield  battlefield      A battlefield  battlefield      A battlefield  battlefield      Guess you better go and get your armor          I never meant to start a war     You know I never wanna hurt you     Don t even know what we re fighting for     Why does love always feel like        A battlefield  battlefield      A battlefield  battlefield      A battlefield  battlefield      Why does love always feel like        A battlefield  battlefield      A battlefield  battlefield      A battlefield  battlefield           I guess you better go and get your armor  get your armor      Get your armor  get your armor      I guess you better go and get your armor  get your armor      Get your armor  get your armor           Why does love always feel like        Why does love always feel like        A battlefield  battlefield      A battlefield  battlefield           I never meant to start a war     Don t even know what we re fighting for     I never meant to start a war     Don t even know what we re fighting for',angry
ML20,Spoon,'You Got Yr  Cherry Bomb','Life can be so fair     Let it go on and on     I can push for good     You got that cherry bomb     Blow out that cherry bomb for me     We lost it long ago     You and me     Now you know your way     Back from the spirit bar     Brush your teeth for bed     Blow out that cherry bomb     Blow out that cherry bomb for me     You got to know it s on your sleeve     Know it s on your sleeve     Know it s on your sleeve  come on      It was the longest day that I d ever known     I watched you start that drive alone     Blow out that cherry bomb for me     It s going to burn right up your sleeve     Burn right up your sleeve     So there you go again     Out in your dressing gown     Get yourself to bed     Blow out that cherry bomb     Oh  life can be so fair     Let it go on and on     I could pay to that hand on your cherry bomb     Oh  life can be so fair     Let it go on and on     I could pay to that hand on your cherry bomb',angry
ML21,'Tarralyn Ramsey','Peace Of God','Oh peace of God Reign on me My spirit s calling To be free My heart is heavy I m weighted down For I know that your Presence will always be around  Repeat 3 times  Ooh mmmmmm  For the peace of god Surpasses all understanding For the peace of God Supasses all understanding  Repeat 4 times',relaxed
ML22,Tyrese,One,'The One     Tyrese     Let me start by sayin  that you re the one      Cause this is the first time I felt like this plain as day  ohh      You re the only number that I dial  from other chicks      You re the only sex I m gettin  now  ain t that a trip      But it don t matter  cause  you re in it      And it don t matter  but then I get it       Cause you re the only one      1      Imma be good with just one girl     One girl     That s all I need     Imma be straight with just one crib And two whips      Cause I m grown and that s all that I need     Is the one ghetto girl that makes my baby squeeze     One ghetto girl I m shakin  all of my chicks     That s why I m down on one knee with one ring     Baby all I need is one     Ain t nothing gonna stop me from lovin  you     And wifing you     Spendin  all my life with you     Baby     I m so committed     This one is one I m with it     It s so damn good     All the sex you want without no hat  imagine that      Got a real nigga thats gon  have your back  imagine that      That s just the way it is     And that s just how it s gon  go     And you gon  be that one      1 repeat      Girl I ain t gonna front about it down and tell the truth about it  way gone      Way gone     Ain t nothin  I won t give up just to make you that one     Baby that one girl     One step     One breath     One love     One name     So it s one me     One ring     One church     And one preacher     One choir     Two little words      1 repeat      Just one     One girl     One girl     Baby all I need is one  all i need is one      One girl  one      One girl  baby your the one      Baby all I need is one     One me     One ring     One church',relaxed
ML23,'Dr  Dog','Where d All The Time Go ','Where d all the time go      It s starting to fly     See how the hands go     Waving goodbye     And you know I get so forgetful     When I look in your eyes          Now she s walking backwards     Through a parade     And I m stuck in the shadow     Blocking the shade     And there ain t no way to sweep up     The mess that we ve made          She gets dressed up like a pillow so she s always in bed     Flowers for the sick and dead     She s on the go  way too fast and way too slow     She ll turn to stone at hospitals and funeral homes     And when the fog rises     Somebody sighs who is not in disguise anymore          There s nothing to keep you     From falling in love     It starts at the bottom     And comes from above     Like pieces of a puzzle     Like a hand in a glove          She gets dressed up like a pillow so she s always in bed     Flowers for the sick and dead     She s on the go  way too fast and way too slow     She ll turn and stop at hospitals and funeral homes     And when the tide rises     Somebody sinks and is gone in the blink of an eye',sad
ML24,'Tarralyn Ramsey','Unconditional Love','Been in love so many times before     Everyone I loved walked right out the door     But I never knew that I d     Find someone like you     Take me by the hand     And help me to stand     I never knew that I d find someone     Chorus      Give me unconditional love  repeat 3 times      Vamp      Love me right     Hold me tight     Lord I love you     Lord I love you',happy
ML25,'Kool   The Gang','Steppin  Into Love','Tonight  tonight  tonight     What a lovely feeling  music so appealing     Steppin  into love  my baby and I     When we start the dancin   we begin romancin      Steppin  into love  my baby and I     Steppin  into love tonight     Steppin  to the love     Music is so thrilling and she is so willing     Steppin  into love  my baby and I     Every beat s a love song  nothing here can go wrong     Steppin  into love  my baby and I     Steppin  into love tonight     Steppin  to the love     Every night we go out and dance     There s a chance to increase romance     And we know every beat is love     Steppin  into love     Steppin  into love     Every night we go out and dance     There s a chance to increase romance     And we know every beat is love     Steppin  into love     Tonight  tonight  tonight     The beat is gettin  stronger  we dance a little longer     Steppin  into love  my baby and I     Steppin  in a small way  says I love her always     Steppin  into love  my baby and I     Steppin  into love tonight     Steppin  into the love  whoa  tonight     Every night we go out and dance     There s a chance to increase romance     And we know every beat is love     Steppin  to love     Tonight  tonight  tonight  all night',happy
ML26,'Anders Osborne','Darkness At The Bottom','Darkness at the bottom Of a hole I didn t dig Darkness at the bottom Of a hole I didn t dig Yeah  I m down here on my knees Beggin  you please Lord Save me before I m losin  it  It leaves me wondering Is this how it s gonna be It leaves me wondering Is this how it s gonna be Everbody s talking Nobody s listening  Darkness at the bottom Of a hole I didn t dig Darkness at the bottom Of a hole I didn t dig Yeah  I m down here on my knees Crawlin  in the mud  Just like a pig  Hearing is believing Tell me what you need to know Hearing is believing Tell me what you need to know Yeah  everybody s pushing But we ain t got nowhere to go Nowhere to go Nowhere to go  Darkness at the bottom Of a whole lot of misery Darkness down here at the bottom Of a whole lot of misery Yeah  I ve seen blood turn into water And a whole lotta low down greed Whole lotta low down greed',sad
